en,vi,description
Abnormal Thyroid Function,chức năng bất thường của tuyến giáp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Academic Performance,kết quả học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Achievement Tests,bài kiểm tra thu hoạch,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acne,mụn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acoustic Impedance,trở kháng âm học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acoustic Reflex,phản xạ thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acquiring Developmental Skill,tiếp nhận kỹ năng phát triển,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acquiring skills for following directions,tiếp nhận kỹ năng thực hiện theo hướng dẫn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acquiring basic language skills,tiếp nhận kỹ năng ngôn ngữ cơ bản,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Acquiring skills for listening,tiếp nhận kỹ năng nghe,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Adaptive Behaviour,hành vi thích ứng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Adapted Curriculum,chương trình học đã chỉnh sửa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Adrenalin,adrenalin,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Aetiology Consideration,cân nhắc nguyên do gây bệnh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Affection Consistency,tính kiên định tình cảm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Aims,(các) mục tiêu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Albinism,chứng bạch tạng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Alcoholism,chứng nghiện rượu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Algorithms,thuật toán,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Alliteration,sự điệp âm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Alternative Assessment,đánh giá thay thế,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Alternative Forms Reliability,tính tin cậy của các bài kiểm tra thay thế,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Alzheimers Disease,bệnh mất trí nhớ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Amblyopia,chứng giảm sức nhìn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Aminoglycosides,hợp chất amino và đường gluco,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Amniocentesis,sự chọc nước ối,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Analysis,sự phân tích,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Anecdotal Records,ghi chép giai thoại,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Anomaly of the Bowel,sự bất thường ruột,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Anoxia,sự thiếu oxy huyết,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Antibodies,kháng thể,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
