"#"	"Nếu cột đầu có # : comments | tags "
"#"	"Software chỉ cần đọc tag mình muốn, ngoài ra cứ việc ignore"
"#FOO"	"Nếu là ""tag"" thì keyword nằm sau #"
"#"	"###############################################"
"#DICTNAME"	"Thuật ngữ sinh học Anh Việt"
"#AUTHOR"	"Mai Đình Yên, Vũ Văn Vụ, Lê Đình Lương"
"#FIELD"	"Biology, Sinh học"
"#YEAR"	"2006.0"
"#COLDEFS"	"Sau dòng này là định nghĩa các cột"
"#TERM:EN"	"#TERM:VI"
""	""
"#"	"comment có thể ở bất cứ đâu!"
"#"	"Để dùng cho Google Translator Toolkit: xóa từ dòng này trở lên, tạo dòng đầu chứa tên của các cột là “en” ở cột A và “vi” ở cột B"
"AA"	"viết tắt của Arachidonic Acid"
"aAI-1"	"aAI-1"
"abambulacral"	"thiếu chân mút, thiếu chân ống"
"ABC"	"viết tắt của Association of Biotechnology Companies"
"ABC Transport Proteins"	"protein vận chuyển ABC"
"ABC  Transporters"	"nhân tố vận chuyển ABC"
"abdomen"	"bụng, phần bụng"
"abdominal limbs"	"(các) phần phụ bụng"
"abdominal muscle"	"cơ bụng"
"abdominal pores"	"(các) lỗ bụng"
"abdominal reflex"	"phản xạ bụng"
"abductor"	"cơ giạng,  cơ  duỗi"
"abiogenesis"	"(sự) phát sinh phi sinh học"
"abiotic"	"(thuộc) phi sinh học, không sống"
"abiotic stresses"	"căng thẳng phi sinh học"
"ABO blood group substances"	"(các) chất nhóm máu ABO"
"ABO  blood group system"	"hệ thống nhóm máu ABO"
"abomasum"	"dạ múi khế"
"aboral"	"xa miệng, đối miệng"
"abortifacient"	"chất phá thai"
"abortion"	"(sự) sẩy thai, truỵ thai"
"abortion"	"thui chột"
"abrin"	"abrin"
"abscess"	"(sự) áp xe"
"abscisic acid"	"axit abscisic"
"abscission"	"(sự) rụng"
"absolute configuration"	"cấu hình tuyệt đối"
"absolute refractory period"	"thời kỳ bất ứng tuyệt đối"
"absolute threshold"	"ngưỡng tuyệt đối"
"absorbance"	"chất hấp thụ"
"absorbed dose"	"liều lượng hấp thụ"
"absorption"	"(sự) hấp thu"
"absorption spectrum"	"phổ hấp thụ"
"abundance"	"độ phong phú"
"abyssal"	"(thuộc) đáy biển sâu thẳm"
"abyssal zone"	"vùng nước sâu"
"abyssopelagic"	"(thuộc) vùng sâu đại dương"
"abzymes"	"abzym"
"Ac- CoA"	"Ac- CoA"
"Acanthocephala"	"ngành Giun đầu móc"
"acanthozooid"	"thể gai"
"Acarina"	"bộ Ve bét"
"acarophily"	"thích ve rệp"
"acarophitisrn"	"quan hệ cộng sinh ve-rệp"
"acaulescent"	"(có) thân ngắn"
"acauline"	"không thân"
"acaulose"	"không thân"
"acceptor junction site"	"điểm liên kết acceptơ"
"accession"	"thêm vào, bổ sung"
"accessorius"	"cơ phụ"
"accessorius"	"dây thần kinh phụ"
"accessory bud"	"chồi phụ"
"accessory cell"	"tế bào phụ, tế bào kèm, trợ bào"
"accessory chromosome"	"nhiễm sắc thể phụ"
"accessory glands"	"(các) tuyến phụ"
"accessory hearts"	"(các) tim phụ"
"accessory nipple"	"gai phụ"
"accessory pigments"	"(các) sắc tố phụ"
"accessory pulsatory organs"	"(các) cơ quan co bóp phụ"
"Accipitriformes"	"bộ Chim ưng"
"acclimation"	"(sự) thích nghi môi trường, thuần hoá"
"ACC"	"ACC"
"ACC Synthase"	"Synthaza ACC"
"ACCase"	"ACCaza"
"acceptor control"	"điều khiển bằng acceptơ"
"acclimatization"	"khí hậu hoá, thuần hoá"
"ACE"	"ACE"
