"en","vi","description"
"arithmetics","môn số học","əˈrɪθmətɪk"
"algebra","môn đại số","ˈældʒɪbrə"
"geometry","môn hình học","dʒiˈɑːmətri"
"calculus","môn giải tích","ˈkælkjələs"
"analytical geometry","môn hình học giải tích","ˌænəˈlɪtɪkəl dʒiˈɑːmətri"
"trigonometry","môn lượng giác","ˌtrɪɡəˈnɒmətri"
"natural number","số tự nhiên","ˈnætʃərəl ˈnʌmbər"
"integer","số nguyên","ˈɪntədʒər"
"real number","số thực","riːəl ˈnʌmbər"
"complex number","số phức (số ảo)","ˈkɑːmpleks ˈnʌmbər"
"fraction","phân số","ˈfrækʃən"
"ratio","tỉ số","ˈreɪʃiˌoʊ"
"mixed number","hỗn số","ˈmɪkst ˈnʌmbər"
"theorem","định lý","ˈθɪrəm"
"plus, minus","dấu cộng, dấu trừ","ˈpləs, ˈmaɪnəs"
"add … to …","cộng … vào …","ˈæd … tuː …"
"subtract … from …","trừ … ra …","səbˈtrækt … frʌm …"
"addition, subtraction","phép cộng/phép trừ","əˈdɪʃən , səbˈtrækʃən"
"multiply … by …","nhân … với …","ˈmʌltɪplaɪ … baɪ"
"multiplication","phép nhân","ˌmʌltɪplɪˈkeɪʃən"
"product","tích số","ˈprɑːdəkt "
"divide … by …","chia … cho …"," dɪˈvaɪd … baɪ …"
"division","phép chia","dɪˈvɪʒən"
"quotient","thương số","ˈkwoʊʃnt"
"inverse","số nghịch đảo","ˌɪnˈvɝːs"
"proportion","tỉ lệ","prəˈpɔːrʃən"
"(directly) proportional to","tỉ lệ thuận với","dəˈrektli prəˈpɔrʃənəl tuː"
"inversely proportional to","tỉ lệ nghịch với","ˌɪnˈvɝːsli prəˈpɔrʃənəl tuː"
"power","lũy thừa, số mũ","ˈpaʊər"
"factorial","giai thừa","fækˈtɔːriəl"
"equal to","bằng với","ˈiːkwəl tuː"
"equal","bằng với","ˈiːkwəl"
"equation","phương trình","ɪˈkwɛɪʒnən"
"inequation","bất phương trình","ˌɪnɪˈkwɛɪʒən"
"equality","đẳng thức","ɪˈkwɑːlɪti"
"inequality","bất đẳng thức","ˌɪnɪˈkwɑːlɪti"
"vary","biến thiên, thay đổi","ˈvɛri"
"variable","biến số","ˈvɛriːəbəl"
"variable","có thể thay đổi","ˈvɛriːəbəl"
"constant","hằng số","ˈkɑːnstənt"
"parameter","tham số","pəˈræmətər"
"logarithm","logarit","ˈlɑːɡəˌrɪðəm"
"base","cơ số","ˈbeɪs"
"natural logarithm","logarit tự nhiên","ˈnætʃərəl ˈlɑːɡəˌrɪðəm"
"function","hàm số","ˈfʌŋkʃən"
"limit","giới hạn","ˈlɪmɪt"
"monotonic","đơn điệu","məˈnɑːtənɪk"
"monotonically increasing","đồng biến","məˈnɑːtənɪkli ɪnˈkrisɪŋ"
"monotonically decreasing","nghịch biến","məˈnɑːtənɪkli dɪˈkrisɪŋ"
"slope (of the line)","hệ số góc","sloʊp əv ðə ˈlaɪn"
"graph","đồ thị","ˈɡræf"
"origin","gốc tọa độ","ˈɔːrɪdʒɪn"
"axis (pl. axes)","trục tọa độ","ˈæksɪs, ˈæksɪz"
"extremum (pl. extrema)","cực trị","ɪkˈstri məm ; ɪkˈstri mə"
"derivative","đạo hàm","dəˈrɪvətɪv"
"second derivative","đạo hàm bậc hai","ˈsekənd dəˈrɪvətɪv"
"differentiate","lấy đạo hàm","ˌdɪfəˈrenʃiˌeɪt"
"differentiation","phép lấy đạo hàm","ˌdɪfəˌrenʃiˈeɪʃən"
"differential equation","phương trình vi phân","ˌdɪfəˈrentʃəl ɪˈkweɪʒən"
"integrate","lấy tích phân","ˈɪntəˌɡret"
"integration","phép tính tích phân","ˌɪntɪˈɡreɪʃən"
"integral","tích phân","ˈɪntɪɡrəl"
"antiderivative","nguyên hàm","ˌæntidəˈrɪvətɪv"
"upper, lower limit","cận trên/cận dưới","ˈʌpər, ˈloʊər ˈlɪmɪt"
"integrand","hàm dưới dấu tích phân","ˈɪntɪɡrænd"
"infinitesimal","vi phân","ˌɪnˌfɪnɪˈtesɪməl"
"definite integral","tích phân xác định","ˈdefənɪt ˈɪntɪɡrəl"
"indefinite integral","tích phân bất định","ˌɪnˈdefɪnɪt ˈɪntɪɡrəl"
"double integral","tích phân bội hai","ˈdʌbəl ˈɪntɪɡrəl"
"triple integral","tích phân bội ba","ˈtrɪpəl ˈɪntɪɡrəl"
"surface integral","tích phân mặt","ˈsɝːfɪs ˈɪntɪɡrəl"
"line integral","tích phân đường","ˈlaɪn ˈɪntɪɡrəl"
"area under the curve","diện tích giới hạn bởi đồ thị","ˈeriə ˈʌndər ðə ˈkɝːv"
"straight line","đường thẳng","streɪt laɪn"
"linear","tuyến tính","ˈlɪnɪə"
"curve","đường cong","kɜːv"
"curvature","độ cong","ˈkɜːvətʃər"
"center (of a circle)","tâm","ˈsentər əv ə ˈsɜːkəl"
"radius","bán kính","ˈreɪdɪəs"
"diameter","đường kính","daɪˈæmɪtə"
"arc","cung","ɑːk"
"circle","đường tròn, hình tròn","ˈsɜːkəl"
"circular","có dạng tròn","ˈsɜːkjʊlə"
"tangent","tiếp tuyến","ˈtændʒənt"
"perpendicular to","vuông góc với","ˌpɜːpənˈdɪkjʊlə tə"
